Time,Chla,Tw,TN,TP,Basin
01-Jan-2010,NaN,NaN,NaN,NaN,1
02-Jan-2010,NaN,NaN,NaN,NaN,1
03-Jan-2010,NaN,NaN,NaN,NaN,1
04-Jan-2010,1.9,5,1.167,0.025,1
05-Jan-2010,NaN,NaN,NaN,NaN,1
06-Jan-2010,1,1,1.909,0.018,1
07-Jan-2010,NaN,NaN,NaN,NaN,1
08-Jan-2010,NaN,NaN,NaN,NaN,1
09-Jan-2010,NaN,NaN,NaN,NaN,1
10-Jan-2010,NaN,NaN,NaN,NaN,1
11-Jan-2010,1.3,0,4.437,0.024,1
12-Jan-2010,1.2,5,1.156,0.018,1
13-Jan-2010,NaN,NaN,NaN,NaN,1
14-Jan-2010,NaN,NaN,NaN,NaN,1
15-Jan-2010,NaN,NaN,NaN,NaN,1
16-Jan-2010,NaN,NaN,NaN,NaN,1
17-Jan-2010,NaN,NaN,NaN,NaN,1
18-Jan-2010,3.3,0.5,4.1655,0.035,1
19-Jan-2010,0.8,5,1.449,0.021,1
20-Jan-2010,NaN,NaN,NaN,NaN,1
21-Jan-2010,NaN,NaN,NaN,NaN,1
22-Jan-2010,NaN,NaN,NaN,NaN,1
23-Jan-2010,NaN,NaN,NaN,NaN,1
24-Jan-2010,NaN,NaN,NaN,NaN,1
25-Jan-2010,2.56666666666667,2.66666666666667,4.9,0.054,1
26-Jan-2010,1.5,5,1.461,0.018,1
27-Jan-2010,NaN,NaN,NaN,NaN,1
28-Jan-2010,NaN,NaN,NaN,NaN,1
29-Jan-2010,NaN,NaN,NaN,NaN,1
30-Jan-2010,NaN,NaN,NaN,NaN,1
31-Jan-2010,NaN,NaN,NaN,NaN,1
01-Feb-2010,1.6,4,1.445,0.02,1
02-Feb-2010,2.13333333333333,0.666666666666667,3.047,0.026,1
03-Feb-2010,NaN,NaN,NaN,NaN,1
04-Feb-2010,0.9,2,6.298,0.1065,1
05-Feb-2010,NaN,NaN,NaN,NaN,1
06-Feb-2010,NaN,NaN,NaN,NaN,1
07-Feb-2010,NaN,NaN,NaN,NaN,1
08-Feb-2010,NaN,NaN,NaN,NaN,1
09-Feb-2010,NaN,NaN,NaN,NaN,1
10-Feb-2010,1.8,4,1.521,0.021,1
11-Feb-2010,NaN,NaN,NaN,NaN,1
12-Feb-2010,NaN,NaN,NaN,NaN,1
13-Feb-2010,NaN,NaN,NaN,NaN,1
14-Feb-2010,NaN,NaN,NaN,NaN,1
15-Feb-2010,NaN,NaN,NaN,NaN,1
16-Feb-2010,2,4,1.355,0.022,1
17-Feb-2010,3.65,1.5,3.7575,0.036,1
18-Feb-2010,NaN,NaN,NaN,NaN,1
19-Feb-2010,NaN,NaN,NaN,NaN,1
20-Feb-2010,NaN,NaN,NaN,NaN,1
21-Feb-2010,NaN,NaN,NaN,NaN,1
22-Feb-2010,1.8,4,1.214,0.012,1
23-Feb-2010,NaN,NaN,NaN,NaN,1
24-Feb-2010,4.65,2.5,3.361,0.0475,1
25-Feb-2010,NaN,NaN,NaN,NaN,1
26-Feb-2010,NaN,NaN,NaN,NaN,1
27-Feb-2010,NaN,NaN,NaN,NaN,1
28-Feb-2010,NaN,NaN,NaN,NaN,1
01-Mar-2010,NaN,NaN,NaN,NaN,1
02-Mar-2010,1.1,5,1.439,0.028,1
03-Mar-2010,NaN,NaN,NaN,NaN,1
04-Mar-2010,1.25,4,2.9185,0.0225,1
05-Mar-2010,NaN,NaN,NaN,NaN,1
06-Mar-2010,NaN,NaN,NaN,NaN,1
07-Mar-2010,NaN,NaN,NaN,NaN,1
08-Mar-2010,NaN,NaN,NaN,NaN,1
09-Mar-2010,NaN,NaN,NaN,NaN,1
10-Mar-2010,NaN,NaN,NaN,NaN,1
11-Mar-2010,1.6,5,1.136,0.007,1
12-Mar-2010,2.4,6.5,2.833,0.0305,1
13-Mar-2010,NaN,NaN,NaN,NaN,1
14-Mar-2010,NaN,NaN,NaN,NaN,1
15-Mar-2010,1.6,6,1.287,0.011,1
16-Mar-2010,NaN,NaN,NaN,NaN,1
17-Mar-2010,NaN,NaN,NaN,NaN,1
18-Mar-2010,1.3,5,2.3485,0.018,1
19-Mar-2010,NaN,NaN,NaN,NaN,1
20-Mar-2010,NaN,NaN,NaN,NaN,1
21-Mar-2010,NaN,NaN,NaN,NaN,1
22-Mar-2010,1.5,5,1.91833333333333,0.0173333333333333,1
23-Mar-2010,NaN,NaN,NaN,NaN,1
24-Mar-2010,NaN,NaN,NaN,NaN,1
25-Mar-2010,1.1,2,1.794,0.012,1
26-Mar-2010,NaN,NaN,NaN,NaN,1
27-Mar-2010,NaN,NaN,NaN,NaN,1
28-Mar-2010,NaN,NaN,NaN,NaN,1
29-Mar-2010,2.5,9,2.771,0.0636666666666667,1
30-Mar-2010,NaN,NaN,NaN,NaN,1
31-Mar-2010,2.8,6,1.345,0.01,1
01-Apr-2010,NaN,NaN,NaN,NaN,1
02-Apr-2010,NaN,NaN,NaN,NaN,1
03-Apr-2010,NaN,NaN,NaN,NaN,1
04-Apr-2010,NaN,NaN,NaN,NaN,1
05-Apr-2010,2.55,11,2.063,0.0215,1
06-Apr-2010,2.15,9,1.493,0.014,1
07-Apr-2010,NaN,NaN,NaN,NaN,1
08-Apr-2010,NaN,NaN,NaN,NaN,1
09-Apr-2010,NaN,NaN,NaN,NaN,1
10-Apr-2010,NaN,NaN,NaN,NaN,1
11-Apr-2010,NaN,NaN,NaN,NaN,1
12-Apr-2010,3.36666666666667,10,3.771,0.0233333333333333,1
13-Apr-2010,3.05,11.5,1.915,0.0205,1
14-Apr-2010,1.8,6,1.398,0.011,1
15-Apr-2010,NaN,NaN,NaN,NaN,1
16-Apr-2010,NaN,NaN,NaN,NaN,1
17-Apr-2010,NaN,NaN,NaN,NaN,1
18-Apr-2010,NaN,NaN,NaN,NaN,1
19-Apr-2010,2.8,10,1.584,0.007,1
20-Apr-2010,3.8,14,2.134,0.027,1
21-Apr-2010,NaN,NaN,NaN,NaN,1
22-Apr-2010,NaN,NaN,NaN,NaN,1
23-Apr-2010,NaN,NaN,NaN,NaN,1
24-Apr-2010,NaN,NaN,NaN,NaN,1
25-Apr-2010,NaN,NaN,NaN,NaN,1
26-Apr-2010,3.1,10,1.527,0.007,1
27-Apr-2010,NaN,NaN,NaN,NaN,1
28-Apr-2010,8.55,7.5,1.936,0.021,1
29-Apr-2010,NaN,NaN,NaN,NaN,1
30-Apr-2010,NaN,NaN,NaN,NaN,1
01-May-2010,NaN,NaN,NaN,NaN,1
02-May-2010,NaN,NaN,NaN,NaN,1
03-May-2010,3.5,15,2.31466666666667,0.024,1
04-May-2010,3.7,13,1.248,0.016,1
05-May-2010,NaN,NaN,NaN,NaN,1
06-May-2010,7.15,17.5,1.807,0.021,1
07-May-2010,NaN,NaN,NaN,NaN,1
08-May-2010,NaN,NaN,NaN,NaN,1
09-May-2010,NaN,NaN,NaN,NaN,1
10-May-2010,NaN,NaN,NaN,NaN,1
11-May-2010,NaN,NaN,NaN,NaN,1
12-May-2010,2.5,13,1.496,0.024,1
13-May-2010,3.6,16.3333333333333,1.82466666666667,0.0226666666666667,1
14-May-2010,NaN,NaN,NaN,NaN,1
15-May-2010,NaN,NaN,NaN,NaN,1
16-May-2010,NaN,NaN,NaN,NaN,1
17-May-2010,2.4,12,1.574,0.009,1
18-May-2010,NaN,NaN,NaN,NaN,1
19-May-2010,NaN,NaN,NaN,NaN,1
20-May-2010,6.6,19.5,2.174,0.0345,1
21-May-2010,NaN,NaN,NaN,NaN,1
22-May-2010,NaN,NaN,NaN,NaN,1
23-May-2010,NaN,NaN,NaN,NaN,1
24-May-2010,11.8,12.5,2.223,0.0455,1
25-May-2010,2.4,12,1.71,0.027,1
26-May-2010,NaN,NaN,NaN,NaN,1
27-May-2010,NaN,NaN,NaN,NaN,1
28-May-2010,NaN,NaN,NaN,NaN,1
29-May-2010,NaN,NaN,NaN,NaN,1
30-May-2010,NaN,NaN,NaN,NaN,1
31-May-2010,NaN,NaN,NaN,NaN,1
01-Jun-2010,NaN,NaN,NaN,NaN,1
02-Jun-2010,NaN,NaN,NaN,NaN,1
03-Jun-2010,NaN,NaN,NaN,NaN,1
04-Jun-2010,NaN,NaN,NaN,NaN,1
05-Jun-2010,NaN,NaN,NaN,NaN,1
06-Jun-2010,NaN,NaN,NaN,NaN,1
07-Jun-2010,6.25,19.5,1.978,0.014,1
08-Jun-2010,4.55,22,2.491,0.041,1
09-Jun-2010,NaN,NaN,NaN,NaN,1
10-Jun-2010,NaN,NaN,NaN,NaN,1
11-Jun-2010,NaN,NaN,NaN,NaN,1
12-Jun-2010,NaN,NaN,NaN,NaN,1
13-Jun-2010,NaN,NaN,NaN,NaN,1
14-Jun-2010,3.7,23.6666666666667,2.496,0.065,1
15-Jun-2010,5.25,23,2.818,0.071,1
16-Jun-2010,3.8,16,1.628,0.016,1
17-Jun-2010,NaN,NaN,NaN,NaN,1
18-Jun-2010,NaN,NaN,NaN,NaN,1
19-Jun-2010,NaN,NaN,NaN,NaN,1
20-Jun-2010,NaN,NaN,NaN,NaN,1
21-Jun-2010,9.95,25,2.5475,0.086,1
22-Jun-2010,5.8,17,1.689,0.015,1
23-Jun-2010,NaN,NaN,NaN,NaN,1
24-Jun-2010,NaN,NaN,NaN,NaN,1
25-Jun-2010,NaN,NaN,NaN,NaN,1
26-Jun-2010,NaN,NaN,NaN,NaN,1
27-Jun-2010,NaN,NaN,NaN,NaN,1
28-Jun-2010,5.95,22.5,2.3915,0.073,1
29-Jun-2010,1.7,19,1.711,0.03,1
30-Jun-2010,NaN,NaN,NaN,NaN,1
01-Jul-2010,NaN,NaN,NaN,NaN,1
02-Jul-2010,NaN,NaN,NaN,NaN,1
03-Jul-2010,NaN,NaN,NaN,NaN,1
04-Jul-2010,NaN,NaN,NaN,NaN,1
05-Jul-2010,2.5,20,2.036,0.003,1
06-Jul-2010,4.96666666666667,26,1.794,0.0536666666666667,1
07-Jul-2010,9,23.5,2.4515,0.077,1
08-Jul-2010,NaN,NaN,NaN,NaN,1
09-Jul-2010,NaN,NaN,NaN,NaN,1
10-Jul-2010,NaN,NaN,NaN,NaN,1
11-Jul-2010,NaN,NaN,NaN,NaN,1
12-Jul-2010,5.4,20,1.756,0.013,1
13-Jul-2010,NaN,NaN,NaN,NaN,1
14-Jul-2010,NaN,NaN,NaN,NaN,1
15-Jul-2010,8.1,24,2.4395,0.0755,1
16-Jul-2010,NaN,NaN,NaN,NaN,1
17-Jul-2010,NaN,NaN,NaN,NaN,1
18-Jul-2010,NaN,NaN,NaN,NaN,1
19-Jul-2010,NaN,NaN,NaN,NaN,1
20-Jul-2010,2.6,25,1.65,0.01,1
21-Jul-2010,NaN,NaN,NaN,NaN,1
22-Jul-2010,14.9,27.6666666666667,1.735,0.061,1
23-Jul-2010,NaN,NaN,NaN,NaN,1
24-Jul-2010,NaN,NaN,NaN,NaN,1
25-Jul-2010,NaN,NaN,NaN,NaN,1
26-Jul-2010,NaN,NaN,NaN,NaN,1
27-Jul-2010,4.5,26,1.54,0.009,1
28-Jul-2010,NaN,NaN,NaN,NaN,1
29-Jul-2010,NaN,NaN,NaN,NaN,1
30-Jul-2010,NaN,NaN,NaN,NaN,1
31-Jul-2010,NaN,NaN,NaN,NaN,1
01-Aug-2010,NaN,NaN,NaN,NaN,1
02-Aug-2010,4.2,26,1.557,0.018,1
03-Aug-2010,2.23333333333333,26.6666666666667,1.75133333333333,0.0216666666666667,1
04-Aug-2010,NaN,NaN,NaN,NaN,1
05-Aug-2010,NaN,NaN,NaN,NaN,1
06-Aug-2010,NaN,NaN,NaN,NaN,1
07-Aug-2010,NaN,NaN,NaN,NaN,1
08-Aug-2010,NaN,NaN,NaN,NaN,1
09-Aug-2010,9.5,28,1.352,0.014,1
10-Aug-2010,NaN,NaN,NaN,NaN,1
11-Aug-2010,NaN,NaN,NaN,NaN,1
12-Aug-2010,NaN,NaN,NaN,NaN,1
13-Aug-2010,NaN,NaN,NaN,NaN,1
14-Aug-2010,NaN,NaN,NaN,NaN,1
15-Aug-2010,NaN,NaN,NaN,NaN,1
16-Aug-2010,4.25,21,2.6805,0.054,1
17-Aug-2010,NaN,NaN,NaN,NaN,1
18-Aug-2010,NaN,NaN,NaN,NaN,1
19-Aug-2010,26.2,30,2.684,0.039,1
20-Aug-2010,4.3,29,2.026,0.012,1
21-Aug-2010,NaN,NaN,NaN,NaN,1
22-Aug-2010,NaN,NaN,NaN,NaN,1
23-Aug-2010,12.1333333333333,27,2.57733333333333,0.0363333333333333,1
24-Aug-2010,NaN,NaN,NaN,NaN,1
25-Aug-2010,NaN,NaN,NaN,NaN,1
26-Aug-2010,NaN,NaN,NaN,NaN,1
27-Aug-2010,NaN,NaN,NaN,NaN,1
28-Aug-2010,NaN,NaN,NaN,NaN,1
29-Aug-2010,NaN,NaN,NaN,NaN,1
30-Aug-2010,NaN,NaN,NaN,NaN,1
31-Aug-2010,NaN,NaN,NaN,NaN,1
01-Sep-2010,19.3,28,2.036,0.049,1
02-Sep-2010,1.4,21.3333333333333,1.696,0.0616666666666667,1
03-Sep-2010,NaN,NaN,NaN,NaN,1
04-Sep-2010,NaN,NaN,NaN,NaN,1
05-Sep-2010,NaN,NaN,NaN,NaN,1
06-Sep-2010,NaN,NaN,NaN,NaN,1
07-Sep-2010,12.7,18,2.534,0.094,1
08-Sep-2010,18.4,25,1.727,0.023,1
09-Sep-2010,NaN,NaN,NaN,NaN,1
10-Sep-2010,NaN,NaN,NaN,NaN,1
11-Sep-2010,NaN,NaN,NaN,NaN,1
12-Sep-2010,NaN,NaN,NaN,NaN,1
13-Sep-2010,NaN,NaN,NaN,NaN,1
14-Sep-2010,4.63333333333333,20.3333333333333,2.438,0.0466666666666667,1
15-Sep-2010,NaN,NaN,NaN,NaN,1
16-Sep-2010,NaN,NaN,NaN,NaN,1
17-Sep-2010,NaN,NaN,NaN,NaN,1
18-Sep-2010,NaN,NaN,NaN,NaN,1
19-Sep-2010,NaN,NaN,NaN,NaN,1
20-Sep-2010,20.6,22,2.055,0.027,1
21-Sep-2010,NaN,NaN,NaN,NaN,1
22-Sep-2010,NaN,NaN,NaN,NaN,1
23-Sep-2010,NaN,NaN,NaN,NaN,1
24-Sep-2010,NaN,NaN,NaN,NaN,1
25-Sep-2010,NaN,NaN,NaN,NaN,1
26-Sep-2010,NaN,NaN,NaN,NaN,1
27-Sep-2010,NaN,NaN,NaN,NaN,1
28-Sep-2010,0.8,20,2.002,0.009,1
29-Sep-2010,0.3,15,2.3925,0.012,1
30-Sep-2010,NaN,NaN,NaN,NaN,1
01-Oct-2010,NaN,NaN,NaN,NaN,1
02-Oct-2010,NaN,NaN,NaN,NaN,1
03-Oct-2010,NaN,NaN,NaN,NaN,1
04-Oct-2010,4.3,19,2.069,0.027,1
05-Oct-2010,0.666666666666667,15,2.52466666666667,0.014,1
06-Oct-2010,1.5,15,3.4,0.035,1
07-Oct-2010,7.5,20,2.135,0.015,1
08-Oct-2010,NaN,NaN,NaN,NaN,1
09-Oct-2010,NaN,NaN,NaN,NaN,1
10-Oct-2010,NaN,NaN,NaN,NaN,1
11-Oct-2010,9.2,18,1.812,0.039,1
12-Oct-2010,NaN,NaN,NaN,NaN,1
13-Oct-2010,NaN,NaN,NaN,NaN,1
14-Oct-2010,1.8,17,2.122,0.013,1
15-Oct-2010,8.6,12,3.668,0.049,1
16-Oct-2010,NaN,NaN,NaN,NaN,1
17-Oct-2010,NaN,NaN,NaN,NaN,1
18-Oct-2010,NaN,NaN,NaN,NaN,1
19-Oct-2010,10.1,20,1.823,0.02,1
20-Oct-2010,1.3,15,1.888,0.011,1
21-Oct-2010,7.9,13,3.815,0.055,1
22-Oct-2010,NaN,NaN,NaN,NaN,1
23-Oct-2010,NaN,NaN,NaN,NaN,1
24-Oct-2010,NaN,NaN,NaN,NaN,1
25-Oct-2010,6.5,13,3.825,0.065,1
26-Oct-2010,9.23333333333333,14.6666666666667,1.79,0.016,1
27-Oct-2010,NaN,NaN,NaN,NaN,1
28-Oct-2010,NaN,NaN,NaN,NaN,1
29-Oct-2010,NaN,NaN,NaN,NaN,1
30-Oct-2010,NaN,NaN,NaN,NaN,1
31-Oct-2010,NaN,NaN,NaN,NaN,1
01-Nov-2010,18,14.5,2.5145,0.0515,1
02-Nov-2010,3.5,10,2.155,0.01,1
03-Nov-2010,NaN,NaN,NaN,NaN,1
04-Nov-2010,3.9,9.33333333333333,3.18433333333333,0.0423333333333333,1
05-Nov-2010,NaN,NaN,NaN,NaN,1
06-Nov-2010,NaN,NaN,NaN,NaN,1
07-Nov-2010,NaN,NaN,NaN,NaN,1
08-Nov-2010,34.35,12,2.431,0.0435,1
09-Nov-2010,1.5,8,1.8995,0.04,1
10-Nov-2010,NaN,NaN,NaN,NaN,1
11-Nov-2010,NaN,NaN,NaN,NaN,1
12-Nov-2010,NaN,NaN,NaN,NaN,1
13-Nov-2010,NaN,NaN,NaN,NaN,1
14-Nov-2010,NaN,NaN,NaN,NaN,1
15-Nov-2010,0.2,7,2.471,0.005,1
16-Nov-2010,12.35,10.5,2.8485,0.0465,1
17-Nov-2010,NaN,NaN,NaN,NaN,1
18-Nov-2010,NaN,NaN,NaN,NaN,1
19-Nov-2010,NaN,NaN,NaN,NaN,1
20-Nov-2010,NaN,NaN,NaN,NaN,1
21-Nov-2010,NaN,NaN,NaN,NaN,1
22-Nov-2010,0.5,6,2.487,0.007,1
23-Nov-2010,10.6,10,2.917,0.0605,1
24-Nov-2010,NaN,NaN,NaN,NaN,1
25-Nov-2010,NaN,NaN,NaN,NaN,1
26-Nov-2010,NaN,NaN,NaN,NaN,1
27-Nov-2010,NaN,NaN,NaN,NaN,1
28-Nov-2010,NaN,NaN,NaN,NaN,1
29-Nov-2010,NaN,NaN,NaN,NaN,1
30-Nov-2010,NaN,NaN,NaN,NaN,1
01-Dec-2010,7.9,12,1.498,0.045,1
02-Dec-2010,0.1,7.33333333333333,3.19933333333333,0.335333333333333,1
03-Dec-2010,NaN,NaN,NaN,NaN,1
04-Dec-2010,NaN,NaN,NaN,NaN,1
05-Dec-2010,NaN,NaN,NaN,NaN,1
06-Dec-2010,2.4,12,1.577,0.007,1
07-Dec-2010,NaN,NaN,NaN,NaN,1
08-Dec-2010,2.1,4,4.583,0.12,1
09-Dec-2010,0.6,2,2.541,0.011,1
10-Dec-2010,NaN,NaN,NaN,NaN,1
11-Dec-2010,NaN,NaN,NaN,NaN,1
12-Dec-2010,NaN,NaN,NaN,NaN,1
13-Dec-2010,NaN,NaN,NaN,NaN,1
14-Dec-2010,2,6.5,1.852,0.0205,1
15-Dec-2010,3.1,-1,6.206,0.152,1
16-Dec-2010,1,-1,2.944,0.009,1
17-Dec-2010,NaN,NaN,NaN,NaN,1
18-Dec-2010,NaN,NaN,NaN,NaN,1
19-Dec-2010,NaN,NaN,NaN,NaN,1
20-Dec-2010,NaN,NaN,NaN,NaN,1
21-Dec-2010,1.3,8,1.584,0.015,1
22-Dec-2010,NaN,NaN,NaN,NaN,1
23-Dec-2010,NaN,NaN,NaN,NaN,1
24-Dec-2010,NaN,NaN,NaN,NaN,1
25-Dec-2010,NaN,NaN,NaN,NaN,1
26-Dec-2010,NaN,NaN,NaN,NaN,1
27-Dec-2010,NaN,NaN,NaN,NaN,1
28-Dec-2010,NaN,NaN,NaN,NaN,1
29-Dec-2010,NaN,NaN,NaN,NaN,1
30-Dec-2010,NaN,NaN,NaN,NaN,1
31-Dec-2010,NaN,NaN,NaN,NaN,1
01-Jan-2011,NaN,NaN,NaN,NaN,1
02-Jan-2011,NaN,NaN,NaN,NaN,1
03-Jan-2011,NaN,NaN,NaN,NaN,1
04-Jan-2011,2.3,6,1.219,0.014,1
05-Jan-2011,NaN,NaN,NaN,NaN,1
06-Jan-2011,NaN,NaN,NaN,NaN,1
07-Jan-2011,NaN,NaN,NaN,NaN,1
08-Jan-2011,NaN,NaN,NaN,NaN,1
09-Jan-2011,NaN,NaN,NaN,NaN,1
10-Jan-2011,1.9,5,1.123,0.009,1
11-Jan-2011,1.1,1,1.991,0.015,1
12-Jan-2011,NaN,NaN,NaN,NaN,1
13-Jan-2011,NaN,NaN,NaN,NaN,1
14-Jan-2011,NaN,NaN,NaN,NaN,1
15-Jan-2011,NaN,NaN,NaN,NaN,1
16-Jan-2011,NaN,NaN,NaN,NaN,1
17-Jan-2011,0.4,1,3.754,0.006,1
18-Jan-2011,1.3,4,1.404,0.018,1
19-Jan-2011,NaN,NaN,NaN,NaN,1
20-Jan-2011,NaN,NaN,NaN,NaN,1
21-Jan-2011,NaN,NaN,NaN,NaN,1
22-Jan-2011,NaN,NaN,NaN,NaN,1
23-Jan-2011,NaN,NaN,NaN,NaN,1
24-Jan-2011,0.5,1,3.982,0.01,1
25-Jan-2011,0.7,4,1.539,0.012,1
26-Jan-2011,NaN,NaN,NaN,NaN,1
27-Jan-2011,NaN,NaN,NaN,NaN,1
28-Jan-2011,NaN,NaN,NaN,NaN,1
29-Jan-2011,NaN,NaN,NaN,NaN,1
30-Jan-2011,NaN,NaN,NaN,NaN,1
31-Jan-2011,NaN,NaN,NaN,NaN,1
01-Feb-2011,0.9,4,1.389,0.03,1
02-Feb-2011,NaN,NaN,NaN,NaN,1
03-Feb-2011,NaN,NaN,NaN,NaN,1
04-Feb-2011,NaN,NaN,NaN,NaN,1
05-Feb-2011,NaN,NaN,NaN,NaN,1
06-Feb-2011,NaN,NaN,NaN,NaN,1
07-Feb-2011,NaN,NaN,NaN,NaN,1
08-Feb-2011,2.53333333333333,2.33333333333333,3,0.047,1
09-Feb-2011,NaN,NaN,NaN,NaN,1
10-Feb-2011,NaN,NaN,NaN,NaN,1
11-Feb-2011,NaN,NaN,NaN,NaN,1
12-Feb-2011,NaN,NaN,NaN,NaN,1
13-Feb-2011,NaN,NaN,NaN,NaN,1
14-Feb-2011,NaN,NaN,NaN,NaN,1
15-Feb-2011,0.9,4,1.54,0.031,1
16-Feb-2011,NaN,NaN,NaN,NaN,1
17-Feb-2011,1.8,3.66666666666667,3.337,0.0523333333333333,1
18-Feb-2011,NaN,NaN,NaN,NaN,1
19-Feb-2011,NaN,NaN,NaN,NaN,1
20-Feb-2011,NaN,NaN,NaN,NaN,1
21-Feb-2011,0.4,4,1.617,0.029,1
22-Feb-2011,NaN,NaN,NaN,NaN,1
23-Feb-2011,3.1,3,3.702,0.0705,1
24-Feb-2011,NaN,NaN,NaN,NaN,1
25-Feb-2011,NaN,NaN,NaN,NaN,1
26-Feb-2011,NaN,NaN,NaN,NaN,1
27-Feb-2011,NaN,NaN,NaN,NaN,1
28-Feb-2011,NaN,NaN,NaN,NaN,1
01-Mar-2011,NaN,NaN,NaN,NaN,1
02-Mar-2011,NaN,NaN,NaN,NaN,1
03-Mar-2011,1.35,3.5,3.24025,0.0435,1
04-Mar-2011,NaN,NaN,NaN,NaN,1
05-Mar-2011,NaN,NaN,NaN,NaN,1
06-Mar-2011,NaN,NaN,NaN,NaN,1
07-Mar-2011,1.1,5,1.473,0.015,1
08-Mar-2011,NaN,NaN,NaN,NaN,1
09-Mar-2011,NaN,NaN,NaN,NaN,1
10-Mar-2011,NaN,NaN,NaN,NaN,1
11-Mar-2011,1.55,4,3.7605,0.048,1
12-Mar-2011,NaN,NaN,NaN,NaN,1
13-Mar-2011,NaN,NaN,NaN,NaN,1
14-Mar-2011,NaN,NaN,NaN,NaN,1
15-Mar-2011,2.7,7,1.693,0.021,1
16-Mar-2011,2.25,3.5,3.193,0.034,1
17-Mar-2011,NaN,NaN,NaN,NaN,1
18-Mar-2011,NaN,NaN,NaN,NaN,1
19-Mar-2011,NaN,NaN,NaN,NaN,1
20-Mar-2011,NaN,NaN,NaN,NaN,1
21-Mar-2011,NaN,NaN,NaN,NaN,1
22-Mar-2011,NaN,NaN,NaN,NaN,1
23-Mar-2011,0.9,9,2.153,0.019,1
24-Mar-2011,3.13333333333333,6,2.493,0.0296666666666667,1
25-Mar-2011,NaN,NaN,NaN,NaN,1
26-Mar-2011,NaN,NaN,NaN,NaN,1
27-Mar-2011,NaN,NaN,NaN,NaN,1
28-Mar-2011,5.8,6.5,3.025,0.0335,1
29-Mar-2011,NaN,NaN,NaN,NaN,1
30-Mar-2011,NaN,NaN,NaN,NaN,1
31-Mar-2011,NaN,NaN,NaN,NaN,1
01-Apr-2011,NaN,NaN,NaN,NaN,1
02-Apr-2011,NaN,NaN,NaN,NaN,1
03-Apr-2011,NaN,NaN,NaN,NaN,1
04-Apr-2011,6.55,9,2.4145,0.0425,1
05-Apr-2011,2.8,8,1.937,0.026,1
06-Apr-2011,NaN,NaN,NaN,NaN,1
07-Apr-2011,NaN,NaN,NaN,NaN,1
08-Apr-2011,NaN,NaN,NaN,NaN,1
09-Apr-2011,NaN,NaN,NaN,NaN,1
10-Apr-2011,NaN,NaN,NaN,NaN,1
11-Apr-2011,NaN,NaN,NaN,NaN,1
12-Apr-2011,4.16666666666667,9.66666666666667,1.87933333333333,0.028,1
13-Apr-2011,NaN,NaN,NaN,NaN,1
14-Apr-2011,NaN,NaN,NaN,NaN,1
15-Apr-2011,NaN,NaN,NaN,NaN,1
16-Apr-2011,NaN,NaN,NaN,NaN,1
17-Apr-2011,NaN,NaN,NaN,NaN,1
18-Apr-2011,6.3,9.66666666666667,2.727,0.0393333333333333,1
19-Apr-2011,3.9,8,1.82,0.027,1
20-Apr-2011,NaN,NaN,NaN,NaN,1
21-Apr-2011,NaN,NaN,NaN,NaN,1
22-Apr-2011,NaN,NaN,NaN,NaN,1
23-Apr-2011,NaN,NaN,NaN,NaN,1
24-Apr-2011,NaN,NaN,NaN,NaN,1
25-Apr-2011,0.9,12,1.963,0.071,1
26-Apr-2011,2.2,7,1.615,0.017,1
27-Apr-2011,4.8,10,2.303,0.0305,1
28-Apr-2011,NaN,NaN,NaN,NaN,1
29-Apr-2011,NaN,NaN,NaN,NaN,1
30-Apr-2011,NaN,NaN,NaN,NaN,1
01-May-2011,NaN,NaN,NaN,NaN,1
02-May-2011,NaN,NaN,NaN,NaN,1
03-May-2011,1.53333333333333,13,2.161,0.0233333333333333,1
04-May-2011,NaN,NaN,NaN,NaN,1
05-May-2011,NaN,NaN,NaN,NaN,1
06-May-2011,NaN,NaN,NaN,NaN,1
07-May-2011,NaN,NaN,NaN,NaN,1
08-May-2011,NaN,NaN,NaN,NaN,1
09-May-2011,2.6,10,1.15,0.014,1
10-May-2011,NaN,NaN,NaN,NaN,1
11-May-2011,NaN,NaN,NaN,NaN,1
12-May-2011,NaN,NaN,NaN,NaN,1
13-May-2011,0.8,11.5,2.6785,0.033,1
14-May-2011,NaN,NaN,NaN,NaN,1
15-May-2011,NaN,NaN,NaN,NaN,1
16-May-2011,0.366666666666667,16,3.53333333333333,0.0493333333333333,1
17-May-2011,1.4,11,1.103,0.015,1
18-May-2011,0.65,14.5,2.8675,0.0305,1
19-May-2011,NaN,NaN,NaN,NaN,1
20-May-2011,NaN,NaN,NaN,NaN,1
21-May-2011,NaN,NaN,NaN,NaN,1
22-May-2011,NaN,NaN,NaN,NaN,1
23-May-2011,NaN,NaN,NaN,NaN,1
24-May-2011,1.7,12,1.603,0.016,1
25-May-2011,NaN,NaN,NaN,NaN,1
26-May-2011,NaN,NaN,NaN,NaN,1
27-May-2011,3,17,2.7585,0.0285,1
28-May-2011,NaN,NaN,NaN,NaN,1
29-May-2011,NaN,NaN,NaN,NaN,1
30-May-2011,5.6,24,2.256,0.008,1
31-May-2011,NaN,NaN,NaN,NaN,1
01-Jun-2011,8.7,11,1.481,0.006,1
02-Jun-2011,NaN,NaN,NaN,NaN,1
03-Jun-2011,NaN,NaN,NaN,NaN,1
04-Jun-2011,NaN,NaN,NaN,NaN,1
